,fixed_acidity,sugars,chlorides,sulfur_dioxide,density,pH,sulphates,alcohol,quality
55,7.7,3.8,0.084,45,0.9978,3.34,0.53,9.5,5
56,10.2,3.4,0.07,10,0.9971,3.04,0.63,9.6,5
57,7.5,5.1,0.111,110,0.9983,3.26,0.77,9.4,5
58,7.8,2.3,0.076,54,0.9975,3.43,0.59,10.0,5
59,7.3,2.4,0.07400000000000001,46,0.9962,3.41,0.54,9.4,6
60,8.8,2.2,0.079,52,0.998,3.44,0.64,9.2,5
61,7.7,1.8,0.115,112,0.9968,3.21,0.71,9.3,5
62,7.5,1.9,0.085,35,0.9968,3.38,0.62,9.5,7
63,7.0,2.0,0.081,54,0.9966,3.39,0.57,9.8,5
64,7.2,4.65,0.086,11,0.9962,3.41,0.39,10.9,5
65,7.2,4.65,0.086,11,0.9962,3.41,0.39,10.9,5
66,7.5,1.5,0.079,39,0.9968,3.42,0.58,9.6,5
67,6.6,1.6,0.076,15,0.9962,3.44,0.58,10.7,5
68,9.3,2.0,0.07400000000000001,65,0.9969,3.28,0.79,10.7,5
69,8.0,1.9,0.07400000000000001,19,0.9962,3.34,0.95,10.5,6
70,7.7,1.9,0.076,27,0.9967,3.32,0.54,9.5,6
71,7.7,2.1,0.08800000000000001,96,0.9962,3.32,0.48,9.5,5
72,7.7,1.9,0.084,94,0.9961,3.31,0.48,9.5,5
73,8.3,2.1,0.084,43,0.9976,3.31,0.53,9.2,4
74,9.7,2.5,0.094,83,0.9984,3.28,0.82,9.6,5
75,8.8,2.2,0.09300000000000001,42,0.9986,3.54,0.66,10.5,5
76,8.8,2.2,0.09300000000000001,42,0.9986,3.54,0.66,10.5,5
77,6.8,2.4,0.10400000000000001,30,0.9966,3.52,0.55,10.7,6
78,6.7,2.0,0.086,80,0.9958,3.38,0.52,10.1,5
79,8.3,1.5,0.08,119,0.9972,3.16,1.12,9.1,4
80,6.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,5
81,7.8,1.9,0.46399999999999997,67,0.9974,3.13,1.28,9.4,5
82,7.4,2.0,0.086,73,0.997,3.36,0.57,9.1,5
83,7.3,1.8,0.401,51,0.9969,3.16,1.14,9.4,5
84,6.3,1.8,0.069,61,0.9959,3.44,0.78,10.3,6
85,6.9,2.2,0.076,40,0.9961,3.41,0.59,10.1,5
86,8.6,1.9,0.11,136,0.9972,2.93,1.95,9.9,6
87,7.7,1.9,0.062,31,0.9966,3.39,0.64,9.6,5
88,9.3,2.1,0.107,125,0.9978,3.14,1.22,9.5,5
89,7.0,1.8,0.076,24,0.9978,3.48,0.53,9.0,5
90,7.9,1.9,0.079,140,0.9964,3.23,0.54,9.5,5
91,8.6,1.9,0.11,136,0.9972,2.93,1.95,9.9,6
92,8.6,2.0,0.11,133,0.9972,2.93,1.98,9.8,5
93,7.7,1.9,0.062,31,0.9966,3.39,0.64,9.6,5
94,5.0,1.4,0.045,85,0.9938,3.75,0.48,10.5,4
95,4.7,2.3,0.057999999999999996,106,0.9932,3.85,0.6,12.9,6
96,6.8,3.0,0.102,23,0.9965,3.45,0.56,10.7,5
97,7.0,2.0,0.07,22,0.9963,3.25,0.63,9.2,5
98,7.6,2.5,0.079,10,0.9967,3.39,0.56,9.8,5
99,8.1,1.9,0.08,35,0.9972,3.3,0.59,9.0,6
100,8.3,2.1,0.084,50,0.9972,3.4,0.61,10.2,6
101,7.8,1.9,0.075,22,0.9959,3.31,0.56,10.4,6
102,8.1,1.9,0.08,35,0.9972,3.3,0.59,9.0,6
103,8.1,2.1,0.077,65,0.9967,3.29,0.51,9.2,5
104,7.2,2.2,0.07,36,0.996,3.33,0.48,9.4,5
105,8.1,2.1,0.077,65,0.9967,3.29,0.51,9.2,5
106,7.8,1.7,0.467,69,0.9973,3.08,1.31,9.3,5
107,6.2,1.7,0.08800000000000001,64,0.9969,3.46,0.79,9.3,5
108,8.0,2.5,0.091,80,0.9976,3.37,0.8,9.6,6
109,8.1,2.0,0.122,153,0.9969,3.21,0.69,9.3,5
110,7.8,1.8,0.10400000000000001,47,0.9964,3.19,0.93,9.5,5
111,8.4,2.2,0.084,108,0.9964,3.15,0.66,9.8,5
112,8.4,2.2,0.085,111,0.9964,3.15,0.66,9.8,5
113,10.1,2.3,0.08,46,0.9988,3.32,0.67,9.7,6
114,7.8,1.8,0.10400000000000001,47,0.9964,3.19,0.93,9.5,5
115,9.4,2.2,0.09,62,0.9966,3.07,0.63,10.5,6
116,8.3,1.9,0.077,40,0.9978,3.39,0.61,10.0,6
117,7.8,2.0,0.08199999999999999,28,0.997,3.37,0.5,9.4,6
118,8.8,2.2,0.11900000000000001,56,0.9962,3.21,0.6,10.9,6
119,7.0,1.8,0.09699999999999999,89,0.9959,3.34,0.54,9.2,6
120,7.3,1.7,0.17800000000000002,89,0.9962,3.3,0.57,9.0,5
121,8.8,2.2,0.11900000000000001,56,0.9962,3.21,0.6,10.9,6
122,7.3,2.5,0.075,13,0.998,3.49,0.52,9.2,5
123,8.0,2.6,0.08,34,0.9976,3.44,0.53,9.5,5
124,7.8,1.6,0.08199999999999999,102,0.996,3.39,0.48,9.5,5
125,9.0,1.9,0.146,90,0.9984,3.16,0.7,9.4,5
126,8.2,1.7,0.081,12,0.9964,3.53,0.49,10.9,5
127,8.1,1.8,0.08199999999999999,12,0.9964,3.54,0.48,10.9,5
128,8.0,1.8,0.065,16,0.9962,3.42,0.92,10.5,7
129,6.1,1.8,0.07200000000000001,19,0.9955,3.42,0.57,9.4,5
130,8.0,2.0,0.11800000000000001,134,0.9968,3.24,0.66,9.4,5
131,5.6,2.3,0.049,99,0.9937,3.63,0.63,13.0,5
132,5.6,2.3,0.049,99,0.9937,3.63,0.63,13.0,5
133,6.6,1.5,0.06,26,0.9952,3.4,0.58,9.8,6
134,7.9,2.2,0.084,29,0.9959,3.22,0.55,9.9,6
135,8.4,1.9,0.09,63,0.9965,3.19,0.82,9.6,5
136,8.3,1.8,0.08900000000000001,52,0.9968,3.23,0.77,9.5,5
137,7.2,2.0,0.081,45,0.9972,3.48,0.64,9.2,5
138,7.8,2.1,0.081,105,0.9962,3.33,0.54,9.5,5
139,7.8,2.0,0.081,108,0.9962,3.32,0.54,9.5,5
140,8.4,1.9,0.09,63,0.9965,3.19,0.82,9.6,5
141,8.3,1.8,0.08900000000000001,52,0.9968,3.23,0.77,9.5,5
142,5.2,1.8,0.05,63,0.9916,3.68,0.79,14.0,6
143,6.3,1.7,0.066,20,0.9954,3.34,0.58,9.4,5
144,5.2,1.8,0.05,63,0.9916,3.68,0.79,14.0,6
145,8.1,1.8,0.11699999999999999,141,0.9968,3.17,0.62,9.4,5
146,5.8,1.8,0.087,94,0.9944,3.54,0.52,10.0,5
147,7.6,1.6,0.23600000000000002,88,0.9968,3.11,0.8,9.3,5
148,6.9,2.3,0.07400000000000001,30,0.9959,3.42,0.58,10.2,6
149,8.2,2.8,0.08900000000000001,43,0.9975,3.53,0.61,10.5,6
150,7.3,2.1,0.077,11,0.9958,3.33,0.53,10.3,6
151,9.2,3.4,0.61,69,0.9996,2.74,2.0,9.4,4
152,7.5,1.8,0.095,99,0.995,3.35,0.54,10.1,5
153,7.5,1.8,0.095,99,0.995,3.35,0.54,10.1,5
154,7.1,5.5,0.07,129,0.9973,3.42,0.72,10.5,5
155,7.1,5.5,0.071,128,0.9973,3.42,0.71,10.5,5
156,7.1,5.5,0.07,129,0.9973,3.42,0.72,10.5,5
157,7.1,5.5,0.071,128,0.9973,3.42,0.71,10.5,5
158,7.1,2.2,0.073,22,0.9969,3.48,0.5,9.3,5
159,6.8,1.9,0.079,86,0.9968,3.59,0.57,9.3,6
160,7.6,2.0,0.09,20,0.9959,3.2,0.56,9.6,5
161,7.6,1.3,0.07200000000000001,20,0.9965,3.17,1.08,9.2,4
162,7.8,1.7,0.076,31,0.9964,3.33,0.56,10.0,6
163,7.4,7.3,0.07,121,0.9982,3.37,0.49,9.4,5
164,7.3,7.2,0.07,121,0.9981,3.37,0.49,9.4,5
165,7.8,1.7,0.1,96,0.9961,3.19,0.62,9.5,5
166,6.8,2.1,0.085,101,0.9956,3.34,0.52,10.2,5
167,7.3,1.6,0.07200000000000001,42,0.9956,3.37,0.48,9.0,4
168,6.8,2.1,0.08900000000000001,44,0.9953,3.47,0.55,10.4,6
169,7.5,1.8,0.36,63,0.9964,3.0,1.59,9.5,5
170,7.9,1.8,0.057999999999999996,8,0.9972,3.36,0.33,9.1,4
171,8.0,2.0,0.073,18,0.9972,3.29,0.61,9.2,6
172,8.0,2.0,0.073,18,0.9972,3.29,0.61,9.2,6
173,7.4,1.9,0.068,42,0.9961,3.42,0.57,11.5,6
174,7.3,2.0,0.08,35,0.9961,3.33,0.47,9.5,5
175,6.9,1.5,0.085,49,0.9958,3.35,0.78,9.5,5
176,7.3,2.0,0.08,35,0.9961,3.33,0.47,9.5,5
177,7.5,2.3,0.087,38,0.9972,3.58,0.61,10.5,6
178,7.0,2.5,0.068,20,0.9969,3.48,0.56,9.6,5
179,8.8,2.4,0.067,42,0.9969,3.19,0.59,9.5,5
180,8.8,2.4,0.067,42,0.9969,3.19,0.59,9.5,5
181,8.9,2.0,0.27,110,0.9972,3.12,1.02,9.3,5
182,7.2,2.5,0.076,42,0.9972,3.44,0.52,9.3,5
183,6.8,1.8,0.077,65,0.9971,3.54,0.58,9.3,5
184,6.7,1.9,0.079,62,0.997,3.52,0.58,9.3,6
185,8.9,2.0,0.111,85,0.9971,3.26,0.53,9.7,5
186,7.4,2.0,0.08199999999999999,67,0.9972,3.34,0.55,9.2,5
187,7.7,2.6,0.084,26,0.9976,3.39,0.49,9.7,5
188,7.9,2.0,0.084,143,0.9968,3.2,0.55,9.5,5
189,7.9,1.9,0.08199999999999999,144,0.9968,3.2,0.55,9.5,5
190,8.2,2.9,0.077,127,0.9976,3.23,0.62,9.4,5
191,6.4,1.9,0.07400000000000001,49,0.9974,3.57,0.62,9.8,6
192,6.8,3.8,0.099,126,0.9969,3.28,0.61,9.5,5
193,7.6,2.2,0.071,28,0.9964,3.28,0.55,9.7,5
194,7.6,2.2,0.071,28,0.9964,3.28,0.55,9.7,5
195,7.8,2.0,0.07400000000000001,120,0.9968,3.25,0.54,9.4,5
196,7.3,2.4,0.07400000000000001,55,0.9968,3.46,0.59,10.2,5
197,11.5,2.0,0.067,27,0.9981,3.11,0.97,10.1,6
198,5.4,1.2,0.046,93,0.9924,3.57,0.85,13.0,7
199,6.9,2.1,0.061,31,0.9948,3.51,0.43,11.4,4
200,9.6,1.4,0.055999999999999994,24,0.99695,,0.82,10.3,7
201,8.8,2.1,0.09699999999999999,145,0.9975,,1.03,9.3,5
202,6.8,1.5,0.075,49,0.99545,,0.79,9.5,5
203,7.0,1.6,0.08800000000000001,39,0.9961,,0.55,9.2,5
204,7.0,1.6,0.08900000000000001,37,0.99615,,0.56,9.2,6
205,12.8,2.6,0.095,28,0.9994,,0.77,10.8,7
206,12.8,2.6,0.095,28,0.9994,,0.77,10.8,7
207,7.8,1.8,0.069,120,0.99625,,0.53,9.3,5
208,7.8,2.7,0.1,95,0.9966,,0.67,9.4,5
209,11.0,2.1,0.054000000000000006,19,0.998,,0.88,10.5,7
210,9.7,2.0,0.039,19,0.99585,,0.86,12.4,6
211,8.0,2.8,0.083,62,0.99685,,0.56,10.0,6
212,11.6,2.1,0.059000000000000004,15,0.998,,0.67,10.2,6
213,8.2,2.2,0.06,65,0.9959,,0.43,10.1,5
214,7.8,2.4,0.092,41,0.9974,,0.71,9.8,6
215,7.0,5.6,0.06,121,0.9974,,0.76,10.5,5
216,8.7,2.0,0.10099999999999999,49,0.9962,,0.57,11.0,5
217,8.1,2.2,0.07200000000000001,41,0.9967,,0.55,9.1,5
218,7.5,1.9,0.076,44,0.9957,,0.54,9.7,5
219,7.8,2.4,0.08,144,0.99655,,0.6,9.5,5
220,7.8,,0.08199999999999999,58,0.9964,3.34,0.59,9.4,6
221,7.4,,0.10099999999999999,72,0.9957,3.15,0.57,9.4,5
222,6.8,,0.057,10,0.99525,3.42,0.6,9.5,5
223,8.6,,0.083,28,0.99815,3.28,0.6,10.0,6
224,8.4,,0.08900000000000001,55,0.99745,3.31,0.57,10.4,4
225,7.7,,0.073,63,0.99615,3.37,0.58,10.5,6
226,8.9,,0.337,81,0.9964,3.04,1.61,9.5,6
227,9.0,,0.08900000000000001,23,0.9984,3.39,0.63,9.8,5
228,7.7,,0.073,63,0.99615,3.37,0.58,10.5,6
229,6.9,,0.081,37,0.99685,3.46,0.5,11.0,5
230,5.2,,0.054000000000000006,106,0.9927,3.54,0.62,12.2,7
231,8.0,,0.078,49,0.99625,3.37,0.52,9.9,6
232,8.5,,0.09,58,0.998,3.34,0.7,9.6,6
233,6.9,,0.081,37,0.99685,3.46,0.5,11.0,5
234,8.2,,0.065,37,0.99685,3.32,0.55,9.0,6
235,7.2,,0.09699999999999999,38,0.99675,3.37,0.58,9.0,6
236,7.2,,0.09699999999999999,38,0.99675,3.37,0.58,9.0,6
237,7.2,,0.09699999999999999,39,0.99675,3.37,0.58,9.2,6
238,7.2,,0.09699999999999999,38,0.99675,3.37,0.58,9.0,6
239,8.2,,0.065,37,0.99685,3.32,0.55,9.0,6
240,8.9,1.7,0.263,62,0.9971,3.0,1.09,9.3,5
241,12.0,2.1,0.09300000000000001,24,0.99925,3.14,0.71,10.9,6
242,7.7,1.8,0.102,109,0.99565,3.08,0.49,9.8,6
243,15.0,2.2,0.075,24,1.00005,3.07,0.84,9.2,7
244,15.0,2.2,0.075,24,1.00005,3.07,0.84,9.2,7
245,7.3,2.0,0.084,23,0.9983,3.61,0.96,9.9,6
246,7.1,1.9,0.075,51,0.99685,3.38,0.52,9.5,5
247,8.2,2.3,0.07200000000000001,73,0.9963,3.2,0.45,9.3,5
248,7.7,1.7,0.07400000000000001,39,0.99615,3.35,0.48,9.8,6
249,7.3,2.0,0.084,23,0.9983,3.61,0.96,9.9,6
250,10.8,1.6,0.063,37,0.9985,3.22,0.78,10.0,6
251,7.1,1.8,0.07400000000000001,34,0.9972,3.47,0.7,9.9,6
252,11.1,3.1,0.09,21,0.9986,3.17,0.53,10.5,5
253,7.7,1.9,0.092,86,0.9959,3.23,0.59,9.5,5
254,7.1,1.8,0.07400000000000001,34,0.9972,3.47,0.7,9.9,6
255,8.0,3.2,0.073,119,0.99675,3.26,0.57,9.3,5
256,9.4,2.2,0.075,13,0.998,3.22,0.62,9.2,5
257,6.6,2.1,0.075,56,0.9968,3.49,0.67,9.2,5
258,7.7,1.8,0.611,45,0.9968,3.06,1.26,9.4,5
259,10.0,2.6,0.085,33,0.99965,3.36,0.8,10.5,7
260,7.9,1.7,0.077,45,0.99625,3.29,0.65,9.3,5
261,7.0,2.0,0.087,67,0.99565,3.35,0.6,9.4,4
262,8.0,1.7,0.07,35,0.99575,3.34,0.57,10.0,5
263,7.9,1.8,0.077,49,0.9963,3.28,0.67,9.3,5
264,12.5,2.4,0.064,27,0.9999,3.08,0.87,10.9,5
265,11.8,1.8,0.071,10,0.9968,3.2,0.72,10.2,7
266,8.1,3.3,0.096,61,1.00025,3.6,0.72,9.8,4
267,7.9,3.6,0.078,37,0.9973,3.35,0.86,12.8,8
268,6.9,3.0,0.077,27,0.9987,3.69,0.91,9.4,6
269,11.5,4.0,0.10400000000000001,23,0.9996,3.28,0.97,10.1,6
270,7.9,4.0,0.087,61,0.9965,3.36,0.67,10.7,6
271,11.5,4.0,0.10400000000000001,23,0.9996,3.28,0.97,10.1,6
272,10.9,4.0,0.071,65,0.99935,3.22,0.78,10.1,5
273,8.4,2.4,0.076,38,0.99735,3.31,0.64,9.4,5
274,7.5,7.0,0.08800000000000001,94,0.99915,3.38,0.77,9.4,5
275,7.9,4.0,0.087,61,0.9965,3.36,0.67,10.7,6
276,6.9,3.0,0.077,27,0.9987,3.69,0.91,9.4,6
277,11.5,4.0,0.10400000000000001,23,0.9996,3.28,0.97,10.1,6
278,10.3,6.4,0.073,13,0.9976,3.23,0.82,12.6,8
279,8.9,5.6,0.087,47,0.9991,3.38,0.77,10.5,7
280,11.4,3.6,0.071,19,0.9986,3.12,0.82,9.3,6
281,7.7,3.5,0.358,10,0.9972,3.25,1.08,9.9,7
282,7.6,3.0,0.067,53,0.9971,3.36,0.57,9.1,5
283,8.9,5.6,0.087,47,0.9991,3.38,0.77,10.5,7
284,9.9,3.4,0.102,71,1.00015,3.31,0.71,9.8,5
285,9.9,3.4,0.102,71,1.00015,3.31,0.71,9.8,5
286,12.0,2.0,0.073,49,0.9997,3.1,0.76,10.3,6
287,7.5,3.0,0.092,53,0.9967,3.37,0.7,10.3,6
288,8.7,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
289,11.6,3.3,0.105,98,1.001,3.2,0.95,9.2,5
290,8.7,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
291,11.0,2.0,0.34299999999999997,18,0.9979,3.3,0.71,10.5,5
292,10.4,2.7,0.091,48,0.9994,3.22,0.64,10.3,6
293,6.9,2.4,0.098,16,0.9964,3.41,0.6,10.1,6
294,13.3,3.2,0.094,53,1.0014,3.05,0.81,9.5,6
295,10.8,2.5,0.073,27,1.0001,3.05,0.64,9.5,5
296,10.6,2.6,0.086,70,0.9981,3.16,0.52,9.9,5
297,7.1,2.0,0.083,29,0.99855,3.67,0.73,9.6,5
298,7.2,2.3,0.094,31,0.9993,3.67,0.8,9.7,5
299,6.9,2.1,0.08,33,0.99845,3.68,0.71,9.6,5
300,7.5,2.6,0.086,44,0.9965,3.38,0.59,10.7,6
301,11.1,1.5,0.068,15,0.9973,3.22,0.64,10.1,6
302,8.3,2.6,0.092,28,0.9994,3.51,0.72,10.0,5
303,7.4,1.6,0.18600000000000003,21,0.996,3.39,0.54,9.5,5
304,8.4,2.1,0.11199999999999999,90,0.9973,3.2,0.52,9.2,5
305,10.3,2.5,0.063,25,0.9998,3.12,0.59,9.3,6
306,7.6,2.2,0.08199999999999999,54,0.9966,3.36,0.52,9.4,5
307,10.3,2.4,0.213,14,0.9994,3.19,0.62,9.5,6
308,10.3,2.4,0.214,12,0.9994,3.19,0.63,9.5,6
309,7.4,1.7,0.062,30,0.9968,3.41,0.53,9.5,6
310,10.3,2.5,0.063,25,0.9998,3.12,0.59,9.3,6
311,7.9,2.0,0.07200000000000001,105,0.996,3.27,0.54,9.4,6
312,9.0,2.8,0.09300000000000001,98,0.99815,3.32,0.63,9.5,6
313,8.6,3.0,0.076,135,0.9976,3.3,0.53,9.4,5
314,7.4,2.6,0.087,72,0.99645,3.39,0.68,11.0,5
315,7.1,2.5,0.096,53,0.9962,3.42,0.65,11.0,6
316,9.6,3.4,0.102,92,0.9996,3.3,0.65,10.1,5
317,9.6,2.9,0.08199999999999999,74,0.99865,3.3,0.64,10.4,6
318,9.8,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
319,9.6,2.9,0.08199999999999999,74,0.99865,3.3,0.64,10.4,6
320,9.8,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
321,9.3,3.4,0.09,87,0.99975,3.24,0.62,9.7,5
322,7.8,2.3,0.079,18,0.99735,3.29,0.63,9.3,5
323,10.3,2.8,0.09,73,0.9990000000000001,3.28,0.7,9.5,6
324,10.0,11.0,0.071,50,1.0015,3.16,0.69,9.2,6
325,10.0,11.0,0.071,50,1.0015,3.16,0.69,9.2,6
326,11.6,3.65,0.121,14,0.9978,3.05,0.74,11.5,7
327,10.3,4.5,0.107,13,0.998,3.28,0.83,11.5,5
328,13.4,2.6,0.08199999999999999,21,1.0002,3.16,0.67,9.7,6
329,10.7,2.0,0.061,15,0.9981,3.18,0.62,9.5,5
330,10.2,2.9,0.122,41,0.998,3.23,0.66,12.5,6
331,10.2,2.9,0.122,41,0.998,3.23,0.66,12.5,6
332,8.0,3.2,0.066,114,0.9973,3.22,0.54,9.4,6
333,8.4,2.1,0.105,44,0.9958,3.13,0.52,11.0,5
334,7.9,2.5,0.078,38,0.9963,3.34,0.74,11.7,7
335,11.9,3.4,0.128,21,0.9992,3.17,0.84,12.2,7
336,8.9,1.9,0.052000000000000005,16,0.9948,3.35,0.7,12.5,6
337,7.8,2.8,0.08,58,0.9974,3.31,0.64,10.3,5
338,12.4,3.0,0.10300000000000001,99,1.0008,3.16,1.0,11.5,6
339,12.5,2.3,0.08199999999999999,29,0.9997,3.11,1.36,9.8,7
340,12.2,2.4,0.066,21,1.0,3.12,1.18,9.2,6
341,10.6,2.7,0.065,18,0.9972,3.21,0.87,11.3,6
342,10.9,1.8,0.11800000000000001,14,0.9982,3.3,0.75,9.8,6
343,10.9,1.8,0.11800000000000001,14,0.9982,3.3,0.75,9.8,6
344,11.9,2.6,0.08199999999999999,32,1.0006,3.12,0.78,10.7,6
345,7.0,1.9,0.067,63,0.9979,3.6,0.81,9.9,5
346,6.6,2.7,0.07200000000000001,34,0.9955,3.58,0.89,12.3,7
347,13.8,3.0,0.09300000000000001,15,0.9986,3.02,0.93,12.0,6
348,9.6,2.8,0.08900000000000001,46,0.9979,3.11,0.92,10.0,6
349,9.1,2.6,0.09300000000000001,28,0.9994,3.36,0.86,9.4,6
350,10.7,2.7,0.107,34,1.0004,3.28,0.98,9.9,6
351,9.1,2.6,0.096,26,0.9994,3.35,0.83,9.4,6
352,7.7,2.4,0.09,19,0.9974,3.27,0.73,9.3,5
353,13.5,4.8,0.12,77,1.0018,3.18,0.77,13.0,5
354,6.1,1.4,0.066,165,0.9912,3.25,0.59,11.9,6
355,6.7,2.4,0.078,32,0.9955,3.55,0.61,12.8,6
356,11.5,3.0,0.08,55,1.0001,3.26,0.88,11.0,5
357,10.5,2.95,0.11599999999999999,29,0.997,3.24,0.75,11.7,7
358,11.9,3.1,0.109,23,1.0,3.15,0.85,10.4,7
359,12.6,2.6,0.08800000000000001,41,1.001,3.17,0.68,9.8,6
360,8.2,2.0,0.099,81,0.9973,3.19,0.7,9.4,5
361,8.6,2.6,0.086,50,0.9982,3.37,0.91,9.9,6
362,11.9,2.5,0.07200000000000001,37,0.9992,3.05,0.56,10.0,5
363,12.5,2.0,0.071,15,0.9988,2.99,0.87,10.2,5
364,12.8,5.8,0.083,42,1.0022,3.07,0.73,10.0,7
365,10.0,3.4,0.107,21,0.9979,3.26,0.93,11.8,6
366,12.8,5.8,0.083,42,1.0022,3.07,0.73,10.0,7
367,10.4,2.6,0.076,24,1.0,3.16,0.69,9.0,5
368,10.3,2.8,0.159,75,0.9998,3.18,0.64,9.4,5
369,9.4,2.4,0.07400000000000001,18,0.9962,3.2,1.13,12.0,7
370,6.9,2.3,0.063,63,0.9975,3.57,0.78,9.9,5
371,7.9,1.6,0.055999999999999994,25,0.9967,3.32,0.87,8.7,6
372,9.1,1.8,0.067,46,0.9967,3.32,1.04,10.6,6
373,7.4,2.2,0.106,72,0.9959,3.05,0.63,9.2,5
374,14.0,3.8,0.08900000000000001,47,1.0014,3.01,0.81,10.8,6
375,11.5,4.4,0.124,15,0.9984,3.01,0.83,11.8,7
376,11.5,3.0,0.078,47,1.0003,3.26,1.11,11.0,6
377,9.4,2.4,0.07400000000000001,18,0.9962,3.2,1.13,12.0,7
378,11.4,6.2,0.08800000000000001,24,0.9988,3.11,0.99,13.3,6
379,8.3,2.5,0.094,60,0.9979,3.31,0.7,10.8,6
380,8.3,2.0,0.08,27,0.9974,3.21,0.8,9.4,6
381,13.7,2.9,0.085,43,1.0014,3.06,0.8,10.0,6
382,8.3,2.0,0.08,27,0.9974,3.21,0.8,9.4,6
383,8.3,2.0,0.08,27,0.9974,3.21,0.8,9.4,6
384,7.7,2.1,0.087,54,0.998,3.42,0.74,9.2,5
385,7.4,2.4,0.09,37,0.9979,3.43,0.76,9.7,6
